Organism	g00	KO	Function
mluteus16	g001997	"K01032,K01857"	"3-carboxy-cis,cis-muconate cycloisomerase"
mluteus16	g003681		
mluteus16	g003880	"K03579,K12813"	helicase
mluteus16	g004116	K07483	"transposase, IS3 IS911 family protein"
mluteus16	g004117	K07483	"transposase, IS3 IS911 family protein"
mluteus16	g000371		Domain of unknown function (DU1801)
mluteus16	g000239		
mluteus16	g001740		"Rho termination factor, N-terminal domain"
mluteus16	g001030	K07483	transposase IS3 IS911 family protein
mluteus16	g002379	K07482	Integrase catalytic subunit
mluteus16	g003584	K07483	transposase IS3 IS911 family protein
mluteus16	g002097		GlcNAc-PI de-N-acetylase
mluteus16	g002690	K04078	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter (By similarity)
mluteus16	g000243	K02221	YGGT family
mluteus16	g003063	K02435	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)
mluteus16	g002403	K03696	ATP-dependent CLP protease ATP-binding subunit
mluteus16	g000893	K01897	Amp-dependent synthetase and ligase
mluteus16	g002218		Bacteriophage (PhiC31) resistance gene PglZ
mluteus16	g000594	"K02026,K15772"	Binding-protein-dependent transport systems inner membrane component
mluteus16	g000174	K07483	"transposase, IS3 IS911 family protein"
mluteus16	g003202	K07483	"transposase, IS3 IS911 family protein"
mluteus16	g003524	K07492	transposase
mluteus16	g002173	K03168	"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity)"
mluteus16	g000851		Proteins of 100 residues with WXG
mluteus16	g003377	K05570	PH adaptation potassium efflux system protein
mluteus16	g003733		acetyltransferase
mluteus16	g002028	K03602	"Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)"
mluteus16	g002288		Glutaredoxin
mluteus16	g000119	K07483	transposase IS3 IS911 family protein
mluteus16	g001947	K01153	"Type I restriction-modification system, R subunit"
mluteus16	g002328		Peptidase propeptide and YPEB domain
mluteus16	g003302	K07497	Transposase
mluteus16	g002189	"K01992,K09692"	abc transporter
mluteus16	g001710		Cell division protein CrgA
mluteus16	g002183	K02030	"amino acid ABC transporter, periplasmic protein"
mluteus16	g003847		resolvase
mluteus16	g002399	K07497	Transposase
mluteus16	g000198	K05570	PH adaptation potassium efflux system protein
mluteus16	g001935	"K02037,K02038"	"phosphate ABC transporter, permease"
mluteus16	g002166	"K05784,K05916"	oxidoreductase FAD-binding domain protein
mluteus16	g002095	K03574	NUDIX domain
mluteus16	g000675	K02965	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)
mluteus16	g003996	"K03530,K05787"	DNA-binding protein
mluteus16	g000435		asnC family transcriptional regulator
mluteus16	g000299	K02961	"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal"
mluteus16	g001919		
mluteus16	g000818		resolvase
mluteus16	g000289		"Regulatory protein, FmdB family"
mluteus16	g000135		AntiSigma factor
mluteus16	g002402	"K09691,K09693"	ABC transporter
mluteus16	g002154	K05851	Adenylate cyclase
mluteus16	g001981		Methyltransferase type 11
mluteus16	g002568	K02114	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)
mluteus16	g000640		
mluteus16	g002769		Pfam:DUF156
mluteus16	g002146	K03569	Rod shape-determining protein mreb
mluteus16	g001758		Pfam:DUF156
mluteus16	g002251	K07749	L-carnitine dehydratase bile acid-inducible protein F
mluteus16	g003342		
mluteus16	g001940	"K01679,K07243"	iron permease
mluteus16	g002390		insertion element IS1121 transposase
mluteus16	g000255		Transglycosylase-associated protein
mluteus16	g000859		Transglycosylase-associated protein
mluteus16	g003723		Nudix hydrolase
mluteus16	g002717		
mluteus16	g003952	K07483	Pfam:Transposase_8
mluteus16	g001190		
mluteus16	g001585		Transglycosylase-associated protein
mluteus16	g001918	K03298	EamA-like transporter family
mluteus16	g001942		Metallophosphoesterase
mluteus16	g003473		Transglycosylase associated protein
mluteus16	g000878		peptidase s9 prolyl oligopeptidase active site domain protein
mluteus16	g002250	K01952	phosphoribosylformylglycinamidine synthase
mluteus16	g002695	K02904	50s ribosomal protein l29
mluteus16	g002710		glutaredoxin 2
mluteus16	g003004	K02956	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome (By similarity)
mluteus16	g002273	K08253	Capsular exopolysaccharide family
mluteus16	g002378	K02314	AAA
mluteus16	g001208		integral membrane protein
mluteus16	g001122	K00919	Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol (By similarity)
mluteus16	g003382		"Regulatory protein, FmdB family"
mluteus16	g004036		Cadmium resistance transporter
mluteus16	g002358	K03589	Cell division protein FtsQ
mluteus16	g003983	K02968	Binds directly to 16S ribosomal RNA (By similarity)
mluteus16	g002235	K03470	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
mluteus16	g002430		
mluteus16	g002401	"K01990,K09691,K09693"	ABC transporter
mluteus16	g004083		Glycosyl transferase
mluteus16	g001207		
mluteus16	g002132		type IV pilus assembly pilz
mluteus16	g002417		glycosyl transferase group 1
mluteus16	g001243	"K01738,K01740"	O-Acetylhomoserine
mluteus16	g001519	K01523	Phosphoribosyl-ATP pyrophosphatase
mluteus16	g002380	K13010	DegT DnrJ EryC1 StrS aminotransferase
mluteus16	g002381	"K13010,K15910,K19430"	DegT DnrJ EryC1 StrS aminotransferase
mluteus16	g001916	K19159	prevent-host-death family
mluteus16	g002791		Glutaredoxin
mluteus16	g000573		zinc finger
mluteus16	g002383	K03704	'Cold-shock' DNA-binding domain
mluteus16	g001172		
mluteus16	g002160	"K01835,K01840,K03431,K15778"	phosphomannomutase
mluteus16	g000642	K03724	helicase
mluteus16	g002143		Transcriptional regulator
mluteus16	g001912	K01429	Urea amidohydrolase subunit beta
mluteus16	g000440	K02909	50S ribosomal protein L31 type B
mluteus16	g000173	K02899	50S ribosomal protein L27
mluteus16	g001775	K03116	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system (By similarity)
mluteus16	g000439	K03116	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system (By similarity)
mluteus16	g002392	"K06158,K18230,K18231,K19349"	ABC transporter
mluteus16	g003988		Bile acid sodium symporter
mluteus16	g000689	K19158	Txe YoeB family addiction module toxin
mluteus16	g001177	K19158	Txe YoeB family addiction module toxin
mluteus16	g001701		
mluteus16	g002071	K03455	Sodium/hydrogen exchanger family
mluteus16	g004121		Pfam:Transposase_8
mluteus16	g002240	K03075	Preprotein translocase SecG subunit
mluteus16	g002014	K03073	"preprotein translocase, SecE subunit"
mluteus16	g002086		
mluteus16	g002013	"K00446,K10621"	"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
mluteus16	g002517	K18955	Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA (By similarity)
mluteus16	g000108		
mluteus16	g000839	K18955	Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA (By similarity)
mluteus16	g001745		integrase catalytic
mluteus16	g002136		
mluteus16	g002042	K07816	RelA SpoT domain-containing protein
mluteus16	g001945	K03565	Modulates RecA activity (By similarity)
mluteus16	g000145		Protein of unknown function (DUF466)
mluteus16	g000184	K06191	Glutaredoxin
mluteus16	g001092	K02078	Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)
mluteus16	g002207	K08281	Isochorismatase family
mluteus16	g002118	K08281	nicotinamidase
mluteus16	g002335	K07484	Transposase
mluteus16	g001938		
mluteus16	g003496	K14761	S4 domain protein
mluteus16	g002646	K07497	Transposase
mluteus16	g002565	K03154	Thiamine biosynthesis protein thiS
mluteus16	g002416	"K00266,K00528"	reductase
mluteus16	g002170	K01153	type I restriction-modification system
mluteus16	g000396	K02963	"Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit (By similarity)"
mluteus16	g002483	K07483	transposase IS3 IS911 family protein
mluteus16	g002620		
mluteus16	g002190	K06960	UPF0109 protein
mluteus16	g002018		
mluteus16	g001034		Inherit from COG: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)
mluteus16	g001949	"K00566,K03216"	Methylates the ribose at the nucleotide 34 wobble position in the two leucyl isoacceptors tRNA(Leu)(CmAA) and tRNA(Leu)(cmnm5UmAA). Catalyzes the methyl transfer from S- adenosyl-L-methionine to the 2'-OH of the wobble nucleotide (By similarity)
mluteus16	g003995	K02902	50S ribosomal protein L28
mluteus16	g000786	"K01174,K07038"	nuclease
mluteus16	g002244		Tetr family transcriptional regulator
mluteus16	g002405	"K01710,K13013"	Polysaccharide biosynthesis protein
mluteus16	g002100	K07979	GntR family transcriptional regulator
mluteus16	g000277		Protein of unknown function (DUF2945)
mluteus16	g002916		"redox protein, regulator of disulfide bond formation"
mluteus16	g001097		heavy metal transport detoxification protein
mluteus16	g001732		
mluteus16	g001939	K07118	nad-dependent epimerase dehydratase
mluteus16	g003127		DNA binding domain
mluteus16	g002224		Protein of unknown function (DUF3107)
mluteus16	g002693	K02907	50S ribosomal protein L30
mluteus16	g000929	K02564	Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion (By similarity)
mluteus16	g003394		resolvase
mluteus16	g003873	K02518	"however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)"
mluteus16	g002367	"K00691,K03731,K18784"	Hydrolase
mluteus16	g002296		DNA methyltransferase
mluteus16	g002259		zinc finger
mluteus16	g000212		
mluteus16	g000873		Protein of unknown function (DUF3046)
mluteus16	g001847	K00059	reductase
mluteus16	g001932	"K11473,K18928"	Glycolate oxidase iron-sulfur subunit
mluteus16	g001247	K02110	atp synthase
mluteus16	g002320		Inherit from bactNOG: methylase
mluteus16	g003397		
mluteus16	g004178		
mluteus16	g000826	"K06158,K18230,K18231,K19349"	ABC transporter
mluteus16	g003596		
mluteus16	g002172	"K02302,K02303,K13542"	Multifunctional enzyme that catalyzes the SAM-dependent methylation of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 and then position C-12 or C-18 to form trimethylpyrrocorphin 2. It also catalyzes the conversion of precorrin-2 into siroheme. This reaction consists of the NAD- dependent oxidation of precorrin-2 into sirohydrochlorin and its subsequent ferrochelation into siroheme (By similarity)
mluteus16	g002015	K07095	MJ0936 family
mluteus16	g001494	K02217	"Ferritin, Dps family protein"
mluteus16	g000323	K06994	MmpL domain protein
mluteus16	g001028		Protein of unknown function DUF72
mluteus16	g002282		Transcriptional regulator
mluteus16	g001018		Protein of unknown function (DUF3073)
mluteus16	g002330	K05570	"antiporter, subunit"
mluteus16	g000880		
mluteus16	g001887	K07316	DNA methylase
mluteus16	g002153		SnoaL-like polyketide cyclase
mluteus16	g003528		glycosyl transferase family 2
mluteus16	g002817	K19159	prevent-host-death family
mluteus16	g003979	K03704	Cold shock protein
mluteus16	g000939	K07729	Transcriptional regulator
mluteus16	g003842		
mluteus16	g002578	K02911	50S ribosomal protein L32
mluteus16	g003267		
mluteus16	g002412	"K02351,K07245"	Copper resistance
mluteus16	g002332	"K00128,K00138"	dehydrogenase
mluteus16	g002156	K00797	Inherit from bactNOG: Spermidine
mluteus16	g001933	K03644	"Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)"
mluteus16	g003319	K12952	"Atpase, p-type (Transporting), had superfamily, subfamily ic"
mluteus16	g001669		
mluteus16	g002165		Transposase
mluteus16	g002286	K02029	amino acid ABC transporter
mluteus16	g002292	K01990	abc transporter
mluteus16	g001254	"K00970,K00974"	polynucleotide adenylyltransferase metal dependent phosphohydrolase
mluteus16	g002229		Bile acid sodium symporter
mluteus16	g002168	K16074	transporter
mluteus16	g002656	K02916	50S ribosomal protein L35
mluteus16	g002409	K07497	Transposase
mluteus16	g003230	K13570	"Protein modifier that is covalently attached to lysine residues of substrate proteins, thereby targeting them for proteasomal degradation. The tagging system is termed pupylation (By similarity)"
mluteus16	g002078	K08281	nicotinamidase
mluteus16	g002157	K06940	Pfam:UPF0153
mluteus16	g001260	K00797	"Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)"
